;Fabricante;Modelo;Ano;Tipo de Combustivel;Motor HP;Nº de Cilindros;Tipo Transmissão;Tração;Nº de Portas;Categoria de Mercado;Tamanho Veículo;Estilo Veículo;KM/L Estrada;KM/L Cidade;Popularidade;Preço Sugerido Fabricante
34;FIAT;124 Spider;2017;Gasolina Premium Recomendada;160.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Conversível;14.88;11.05;819;138529.52
35;Mercedes-Benz;190-Class;1991;Gasolina Comum;130.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;11.05;7.65;617;9826.53
36;Mercedes-Benz;190-Class;1991;Gasolina Comum;158.0;6.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;10.63;7.23;617;9826.53
37;Mercedes-Benz;190-Class;1992;Gasolina Comum;158.0;6.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;10.63;7.23;617;9826.53
38;Mercedes-Benz;190-Class;1992;Gasolina Comum;130.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;11.05;7.65;617;9826.53
39;Mercedes-Benz;190-Class;1993;Gasolina Comum;130.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;11.05;7.65;617;9826.53
40;Mercedes-Benz;190-Class;1993;Gasolina Comum;158.0;6.0;MANUAL;tracao traseira;4.0;Luxury;Pequeno;Sedã;10.63;7.23;617;9826.53
41;BMW;2 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;14.88;9.78;3916;161400.77
42;BMW;2 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao traseira;2.0;Luxury;Pequeno;Conversível;14.45;9.78;3916;189897.7
43;BMW;2 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Conversível;13.18;8.5;3916;239521.68
44;BMW;2 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;2.0;Luxury,Performance;Pequeno;Cupê;14.88;9.78;3916;171227.3
45;BMW;2 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;2.0;Luxury;Pequeno;Conversível;14.45;9.35;3916;199724.23
46;BMW;2 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Cupê;13.18;8.5;3916;216920.66
47;BMW;2 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;MANUAL;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;14.45;9.35;3916;161400.77
48;BMW;2 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao em todas as rodas;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Cupê;12.75;8.5;3916;226747.19
49;BMW;2 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Conversível;12.75;8.5;3916;249348.21
50;BMW;2 Series;2017;Gasolina Premium Recomendada;335.0;6.0;Automático;tracao em todas as rodas;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Cupê;13.18;8.93;3916;228221.17
51;BMW;2 Series;2017;Gasolina Premium Recomendada;335.0;6.0;Automático;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Conversível;13.6;8.93;3916;240995.66
52;BMW;2 Series;2017;Gasolina Premium Recomendada;335.0;6.0;Automático;tracao em todas as rodas;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Conversível;13.6;8.93;3916;250822.19
53;BMW;2 Series;2017;Gasolina Premium Recomendada;335.0;6.0;Automático;tracao traseira;2.0;Factory Tuner,Luxury,High-Performance;Pequeno;Cupê;13.6;8.93;3916;218394.64
54;BMW;2 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao traseira;2.0;Luxury,Performance;Pequeno;Conversível;14.45;9.78;3916;191371.68
55;BMW;2 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao traseira;2.0;Luxury,Performance;Pequeno;Cupê;14.88;10.2;3916;162874.74
56;BMW;2 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao em todas as rodas;2.0;Luxury,Performance;Pequeno;Cupê;14.03;10.2;3916;172701.28
57;BMW;2 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao em todas as rodas;2.0;Luxury;Pequeno;Conversível;14.03;9.78;3916;201198.21
58;Audi;200;1990;Gasolina Comum;162.0;5.0;Automático;tracao dianteira;4.0;Luxury;Medio;Sedã;8.5;6.8;3105;9826.53
59;Audi;200;1990;Gasolina Comum;162.0;5.0;MANUAL;tracao em todas as rodas;4.0;Luxury;Medio;Perua;9.35;6.38;3105;9826.53
60;Audi;200;1990;Gasolina Comum;162.0;5.0;MANUAL;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;9.78;6.38;3105;9826.53
61;Audi;200;1991;Gasolina Comum;217.0;5.0;MANUAL;tracao em todas as rodas;4.0;Luxury,Performance;Medio;Sedã;9.35;6.8;3105;9826.53
62;Audi;200;1991;Gasolina Comum;217.0;5.0;MANUAL;tracao em todas as rodas;4.0;Luxury,Performance;Medio;Perua;9.35;6.8;3105;9826.53
63;Audi;200;1991;Gasolina Comum;162.0;5.0;Automático;tracao dianteira;4.0;Luxury;Medio;Sedã;8.5;6.8;3105;9826.53
64;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;123666.89
65;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;117672.7
66;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;12.33;7.65;1013;144302.6
67;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;108067.27
68;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel,Performance;Medio;Sedã;15.31;9.78;1013;130815.69
69;Chrysler;200;2015;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;12.33;7.65;1013;151451.4
70;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;108067.27
71;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;136564.21
72;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;12.33;7.65;1013;156168.14
73;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;12.33;7.65;1013;146931.2
74;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;110499.34
75;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;135458.72
76;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;126221.79
77;Chrysler;200;2016;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;120325.87
78;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;11.9;7.65;1013;146931.2
79;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;11.9;7.65;1013;156168.14
80;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;131110.48
81;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;110499.34
82;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;126221.79
83;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);295.0;6.0;Automático;tracao em todas as rodas;4.0;Flex Fuel,Performance;Medio;Sedã;11.9;7.65;1013;151819.9
84;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;136564.21
85;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;108067.27
86;Chrysler;200;2017;Flex 01 (Gasolina / Etanol);184.0;4.0;Automático;tracao dianteira;4.0;Flex Fuel;Medio;Sedã;15.31;9.78;1013;120325.87
87;Nissan;200SX;1996;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;15.31;11.05;2009;9826.53
88;Nissan;200SX;1996;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;15.31;11.05;2009;9826.53
89;Nissan;200SX;1996;Gasolina Comum;140.0;4.0;MANUAL;tracao dianteira;2.0;Performance;Pequeno;Cupê;12.33;8.93;2009;9826.53
90;Nissan;200SX;1997;Gasolina Comum;140.0;4.0;MANUAL;tracao dianteira;2.0;Performance;Pequeno;Cupê;12.33;8.93;2009;9826.53
91;Nissan;200SX;1997;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;14.88;10.63;2009;9826.53
92;Nissan;200SX;1997;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;14.88;10.63;2009;9826.53
93;Nissan;200SX;1998;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;14.88;10.63;2009;9826.53
94;Nissan;200SX;1998;Gasolina Comum;115.0;4.0;MANUAL;tracao dianteira;2.0;;Pequeno;Cupê;14.88;10.63;2009;9826.53
95;Nissan;200SX;1998;Gasolina Comum;140.0;4.0;MANUAL;tracao dianteira;2.0;Performance;Pequeno;Cupê;11.9;8.5;2009;10185.2
96;Nissan;240SX;1996;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;11.05;8.08;2009;18242.95
97;Nissan;240SX;1996;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;11.05;8.08;2009;17294.69
98;Nissan;240SX;1997;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;11.05;8.08;2009;19210.87
99;Nissan;240SX;1997;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;11.05;8.08;2009;20547.28
100;Nissan;240SX;1997;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;11.05;8.08;2009;20178.78
101;Nissan;240SX;1998;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;10.63;8.5;2009;21122.13
102;Nissan;240SX;1998;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;10.63;8.5;2009;23057.95
103;Nissan;240SX;1998;Gasolina Comum;155.0;4.0;MANUAL;tracao traseira;2.0;Performance;Pequeno;Cupê;10.63;8.5;2009;20178.78
104;Volvo;240;1991;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Perua;11.05;8.08;870;9826.53
105;Volvo;240;1991;Gasolina Comum;114.0;4.0;Automático;tracao traseira;4.0;Luxury;Medio;Perua;9.78;7.65;870;9826.53
106;Volvo;240;1991;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Sedã;11.05;8.08;870;9826.53
107;Volvo;240;1992;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Sedã;11.05;8.08;870;9826.53
108;Volvo;240;1992;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Perua;11.05;8.08;870;9826.53
109;Volvo;240;1992;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Sedã;11.05;8.08;870;9826.53
110;Volvo;240;1993;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Sedã;11.05;8.08;870;9826.53
111;Volvo;240;1993;Gasolina Comum;114.0;4.0;MANUAL;tracao traseira;4.0;Luxury;Medio;Perua;10.63;7.65;870;9826.53
112;Mazda;2;2012;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;78710.51
113;Mazda;2;2012;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;71389.74
114;Mazda;2;2012;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;82837.65
115;Mazda;2;2012;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;75516.89
116;Mazda;2;2013;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;83771.17
117;Mazda;2;2013;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;76450.41
118;Mazda;2;2013;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;79644.03
119;Mazda;2;2013;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;72323.27
120;Mazda;2;2014;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;83771.17
121;Mazda;2;2014;Gasolina Comum;100.0;4.0;Automático;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.45;11.9;586;76450.41
122;Mazda;2;2014;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;79644.03
123;Mazda;2;2014;Gasolina Comum;100.0;4.0;MANUAL;tracao dianteira;4.0;Hatchback;Pequeno;Hatchback de 4 portas;14.88;12.33;586;72323.27
124;BMW;3 Series Gran Turismo;2015;Gasolina Premium Obrigatoria;300.0;6.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury,Performance;Medio;Hatchback de 4 portas;12.75;8.5;3916;232151.79
125;BMW;3 Series Gran Turismo;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury;Medio;Hatchback de 4 portas;14.03;9.35;3916;205620.15
126;BMW;3 Series Gran Turismo;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury;Medio;Hatchback de 4 portas;14.03;9.35;3916;205620.15
127;BMW;3 Series Gran Turismo;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury;Medio;Hatchback de 4 portas;14.45;9.35;3916;211270.41
128;BMW;3 Series Gran Turismo;2016;Gasolina Premium Obrigatoria;300.0;6.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury,Performance;Medio;Hatchback de 4 portas;12.75;8.5;3916;241732.65
129;BMW;3 Series Gran Turismo;2017;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury,Performance;Medio;Hatchback de 4 portas;12.75;8.5;3916;243943.62
130;BMW;3 Series Gran Turismo;2017;Gasolina Premium Obrigatoria;248.0;4.0;Automático;tracao em todas as rodas;4.0;Hatchback,Luxury;Medio;Hatchback de 4 portas;14.03;9.78;3916;215938.01
131;BMW;3 Series;2015;Gasolina Premium Obrigatoria;241.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Perua;14.03;9.35;3916;206111.48
132;BMW;3 Series;2015;Gasolina Premium Obrigatoria;335.0;6.0;Automático;tracao traseira;4.0;Luxury,High-Performance,Hybrid;Medio;Sedã;14.03;10.63;3916;246400.26
133;BMW;3 Series;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao traseira;4.0;Luxury,Performance;Medio;Sedã;14.88;9.78;3916;184247.45
134;BMW;3 Series;2015;Gasolina Premium Obrigatoria;300.0;6.0;Automático;tracao traseira;4.0;Luxury,High-Performance;Medio;Sedã;13.6;8.93;3916;214955.36
135;BMW;3 Series;2015;diesel;180.0;4.0;Automático;tracao traseira;4.0;Diesel,Luxury;Medio;Sedã;19.13;13.6;3916;191617.35
136;BMW;3 Series;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.03;9.35;3916;194073.98
137;BMW;3 Series;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.03;9.35;3916;194073.98
138;BMW;3 Series;2015;Gasolina Premium Obrigatoria;180.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.88;9.78;3916;171718.62
139;BMW;3 Series;2015;Gasolina Premium Obrigatoria;300.0;6.0;Automático;tracao em todas as rodas;4.0;Luxury,Performance;Medio;Sedã;12.75;8.5;3916;224781.89
140;BMW;3 Series;2015;diesel;180.0;4.0;Automático;tracao em todas as rodas;4.0;Diesel,Luxury;Medio;Perua;18.28;13.18;3916;213481.38
141;BMW;3 Series;2015;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao traseira;4.0;Luxury,Performance;Medio;Sedã;14.88;9.78;3916;184247.45
142;BMW;3 Series;2015;diesel;180.0;4.0;Automático;tracao em todas as rodas;4.0;Diesel,Luxury;Medio;Sedã;18.28;13.18;3916;201443.88
143;BMW;3 Series;2015;Gasolina Premium Obrigatoria;180.0;4.0;Automático;tracao traseira;4.0;Luxury;Medio;Sedã;15.31;10.2;3916;161892.09
144;BMW;3 Series;2016;diesel;180.0;4.0;Automático;tracao em todas as rodas;4.0;Diesel,Luxury;Medio;Sedã;17.01;12.75;3916;205620.15
145;BMW;3 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao em todas as rodas;4.0;Luxury,High-Performance;Medio;Sedã;14.03;9.35;3916;234854.08
146;BMW;3 Series;2016;diesel;180.0;4.0;Automático;tracao traseira;4.0;Diesel,Luxury;Medio;Sedã;17.86;13.6;3916;195793.62
147;BMW;3 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao traseira;4.0;Luxury,Performance;Medio;Sedã;14.45;9.35;3916;188423.72
148;BMW;3 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.45;9.35;3916;198250.26
149;BMW;3 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;MANUAL;tracao traseira;4.0;Luxury,Performance;Medio;Sedã;14.45;9.35;3916;188423.72
150;BMW;3 Series;2016;Gasolina Premium Obrigatoria;240.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Perua;14.45;9.35;3916;209550.77
151;BMW;3 Series;2016;Gasolina Premium Obrigatoria;180.0;4.0;Automático;tracao traseira;4.0;Luxury;Medio;Sedã;15.31;10.2;3916;162874.74
152;BMW;3 Series;2016;Gasolina Premium Obrigatoria;180.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.88;9.78;3916;172701.28
153;BMW;3 Series;2016;diesel;180.0;4.0;Automático;tracao em todas as rodas;4.0;Diesel,Luxury;Medio;Perua;17.01;12.75;3916;216920.66
154;BMW;3 Series;2016;Gasolina Premium Obrigatoria;320.0;6.0;Automático;tracao traseira;4.0;Luxury,High-Performance;Medio;Sedã;14.03;9.35;3916;225027.55
155;BMW;3 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao traseira;4.0;Luxury,Performance;Medio;Sedã;14.45;9.78;3916;190389.03
156;BMW;3 Series;2017;Gasolina Premium Recomendada;180.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.45;9.78;3916;174175.26
157;BMW;3 Series;2017;Gasolina Premium Recomendada;180.0;4.0;Automático;tracao traseira;4.0;Luxury;Medio;Sedã;14.88;9.78;3916;164348.72
158;BMW;3 Series;2017;Gasolina Premium Recomendada;248.0;4.0;Automático;tracao em todas as rodas;4.0;Luxury;Medio;Sedã;14.03;9.78;3916;200215.56
